Vehicle Number,Vehicle ID,Violation Type,Timestamp,Frame Number,Location,Time Slot,Latitude,Longitude,Confidence Score,Riders Count
UNKNOWN,-1,No Helmet,2026-06-12 21:40:27,141,Junction A,21:00-22:00,18.5204,73.8567,0.635,0
UNKNOWN,-1,No Helmet,2026-06-12 21:40:28,144,Junction A,21:00-22:00,18.5204,73.8567,0.466,0
UNKNOWN,150,Signal Jumping,2026-06-12 21:40:28,144,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,152,Signal Jumping,2026-06-12 21:40:28,144,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:40:36,159,"185,208",21:00-22:00,18.5204,73.8567,0.6794,3
UNKNOWN,-1,No Helmet,2026-06-12 21:40:37,162,Junction A,21:00-22:00,18.5204,73.8567,0.2593,0
UNKNOWN,-1,No Helmet,2026-06-12 21:40:40,165,Junction A,21:00-22:00,18.5204,73.8567,0.2829,0
UNKNOWN,-1,No Helmet,2026-06-12 21:40:43,177,Junction A,21:00-22:00,18.5204,73.8567,0.2514,0
UNKNOWN,194,Signal Jumping,2026-06-12 21:40:43,183,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:40:44,189,"169,191",21:00-22:00,18.5204,73.8567,0.61,4
UNKNOWN,204,Triple Riding,2026-06-12 21:40:44,192,"171,201",21:00-22:00,18.5204,73.8567,0.6349,4
UNKNOWN,213,Signal Jumping,2026-06-12 21:40:45,198,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,219,Triple Riding,2026-06-12 21:40:46,204,"175,194",21:00-22:00,18.5204,73.8567,0.6843,3
UNKNOWN,150,Triple Riding,2026-06-12 21:40:48,219,"163,175",21:00-22:00,18.5204,73.8567,0.7133,3
UNKNOWN,238,Signal Jumping,2026-06-12 21:40:57,246,Junction A,21:00-22:00,18.5204,73.8567,0.95,0
UNKNOWN,150,Triple Riding,2026-06-12 21:40:57,249,"162,153",21:00-22:00,18.5204,73.8567,0.6554,3
